ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,1112011 1:00,113.1,33,50,33,37,50,52,52,50,39,50,41,36,43,61,41,52,34,52,36,51,52,46,43,43,49
1,1112011 2:00,111.5,33,46,32,35,48,51,52,48,37,50,41,34,42,55,41,52,32,52,34,51,51,46,41,41,47
1,1112011 3:00,110.6,32,45,30,38,48,51,51,48,36,49,39,34,41,55,40,52,32,52,36,51,51,45,39,41,46
1,1112011 4:00,112.7,31,45,31,37,46,52,52,46,37,48,40,32,40,55,42,52,32,52,34,51,52,45,38,41,46
1,1112011 5:00,117.6,31,45,29,38,45,52,50,45,39,47,40,32,39,57,40,51,32,52,34,50,53,45,38,40,44
1,1112011 6:00,131.5,31,45,30,37,45,51,50,45,39,47,39,32,38,55,39,50,32,51,34,50,54,43,40,38,43
1,1112011 7:00,151.9,30,43,28,36,43,51,49,43,37,45,39,32,38,56,39,49,32,51,34,50,52,43,39,38,42
1,1112011 8:00,157.5,31,43,28,33,41,51,48,41,36,44,37,32,37,55,35,48,32,50,32,48,52,41,38,37,43
1,1112011 9:00,147.8,34,45,31,39,45,51,50,45,37,45,43,34,39,56,42,50,36,51,36,50,53,43,43,40,45
1,1112011 10:00,140.8,43,46,38,49,48,54,52,48,45,49,50,41,43,57,48,53,45,54,46,53,56,46,49,44,49
1,1112011 11:00,133.1,50,50,46,55,54,57,56,54,46,55,54,48,48,59,53,57,54,57,52,56,56,48,54,50,53
1,1112011 12:00,125,56,52,53,59,57,58,59,57,50,57,56,54,53,60,56,61,57,60,55,59,57,52,57,54,56
1,1112011 13:00,116.5,59,55,57,62,59,58,60,59,52,60,58,55,56,60,59,62,61,61,59,60,59,54,59,58,59
1,1112011 14:00,112.8,62,55,60,63,61,58,59,61,52,61,60,59,58,60,60,63,63,62,61,62,60,54,60,59,58
1,1112011 15:00,110.7,64,57,62,64,63,60,58,63,54,61,62,59,59,61,61,64,63,61,61,62,59,55,61,60,60
1,1112011 16:00,109.4,64,55,62,65,63,60,59,63,55,59,60,59,59,61,62,64,63,61,63,60,60,55,62,60,61
1,1112011 17:00,114.2,64,55,63,64,61,59,60,61,55,60,60,59,59,60,60,63,61,61,63,59,59,55,61,60,60
1,1112011 18:00,122.7,62,52,59,59,59,57,57,59,50,58,56,55,56,58,55,60,57,58,59,58,58,52,58,57,56
1,1112011 19:00,141.4,52,50,55,59,54,54,55,54,48,55,53,48,50,58,48,55,50,55,54,54,57,45,51,49,48
1,1112011 20:00,152.1,46,45,51,51,50,53,53,50,46,50,51,45,46,58,46,52,45,53,52,52,57,43,45,48,45
1,1112011 21:00,153.3,43,45,46,50,45,52,51,45,45,50,47,43,45,57,43,50,41,50,48,50,57,37,44,43,43
1,1112011 22:00,148.3,39,43,43,53,45,51,50,45,43,49,44,41,43,57,42,47,37,51,45,49,54,37,43,43,41
