ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,812011 1:00,129.6,72,70,72,74,74,75,74,73,68,74,74,72,72,75,73,75,72,79,73,75,76,72,75,74,72
1,812011 2:00,121.2,71,70,72,74,74,76,74,73,66,74,73,72,72,76,73,75,72,78,73,75,75,72,75,74,70
1,812011 3:00,115.6,72,70,72,74,74,75,74,73,64,74,72,72,72,77,73,74,72,79,73,75,73,70,74,74,70
1,812011 4:00,114.2,72,70,72,74,74,75,74,73,64,74,72,72,72,77,71,74,72,78,73,73,75,70,74,74,69
1,812011 5:00,114.9,73,70,70,75,74,76,73,73,64,74,73,70,71,77,72,74,70,78,72,74,76,70,75,74,71
1,812011 6:00,119.8,73,70,70,74,73,78,73,73,64,74,72,70,70,77,70,73,70,77,70,74,76,70,74,72,71
1,812011 7:00,125,73,70,69,74,74,76,73,73,63,73,71,72,69,76,70,73,68,78,70,74,76,70,73,71,72
1,812011 8:00,134.8,74,70,70,75,74,76,73,73,64,73,72,72,70,79,71,74,70,79,70,74,79,72,75,74,73
1,812011 9:00,149.9,74,73,73,77,76,80,74,73,70,76,77,72,72,80,72,75,73,80,72,75,81,72,77,76,75
1,812011 10:00,171.1,77,77,77,80,77,82,74,77,73,78,81,75,78,79,79,77,79,81,79,78,81,73,79,79,75
1,812011 11:00,191,80,81,81,83,78,86,77,79,77,79,84,79,81,82,83,80,82,82,82,77,83,79,82,82,80
1,812011 12:00,210.4,83,84,84,86,79,87,80,82,81,82,88,82,84,83,87,83,86,84,86,78,84,81,85,85,84
1,812011 13:00,226.9,85,84,86,90,84,88,82,86,81,84,90,86,86,82,90,85,88,85,88,79,85,81,88,88,86
1,812011 14:00,241.5,88,88,87,90,85,89,85,86,81,86,92,88,89,86,92,86,90,87,91,82,86,84,90,91,89
1,812011 15:00,252.7,90,90,87,92,88,90,86,88,81,89,92,88,90,85,93,87,91,88,91,84,86,88,92,92,89
1,812011 16:00,262.2,91,90,87,92,88,90,89,90,82,90,94,90,90,85,90,88,91,87,91,85,88,88,93,93,89
1,812011 17:00,269.1,91,90,87,93,89,89,90,90,82,91,92,90,91,87,93,86,93,87,90,85,88,88,93,93,89
1,812011 18:00,273.4,91,90,87,93,90,88,89,90,82,90,93,90,90,87,93,87,91,85,90,88,87,88,92,92,90
1,812011 19:00,270.4,91,84,86,91,89,87,88,88,79,89,92,88,89,85,92,84,90,84,88,87,88,88,90,91,90
1,812011 20:00,256.3,88,81,83,86,86,84,79,86,77,87,89,86,84,82,84,82,82,83,84,85,85,82,86,87,82
1,812011 21:00,245.2,81,75,79,83,80,82,79,81,72,82,83,79,80,81,78,80,77,82,79,80,83,77,82,83,76
1,812011 22:00,230.1,78,73,77,80,79,80,78,79,66,77,80,77,78,77,76,79,73,82,75,77,82,77,78,79,74
1,812011 23:00,202.8,76,72,74,77,77,76,76,77,64,76,79,73,76,76,74,79,72,82,77,77,81,73,76,78,73
1,822011 0:00,176,75,72,72,76,77,75,75,77,64,76,78,73,75,78,73,78,72,83,75,76,79,73,77,76,72
1,822011 1:00,154.4,74,73,72,78,77,76,75,77,63,74,77,72,75,78,73,78,72,81,73,75,78,72,74,77,72
1,822011 2:00,142.4,73,73,69,76,76,75,74,73,61,73,78,72,75,78,73,78,70,81,73,75,78,72,73,75,71
1,822011 3:00,133.3,72,72,68,72,75,77,73,73,61,73,77,70,77,78,72,77,68,79,70,74,78,72,73,74,75
1,822011 4:00,128.4,71,70,66,72,74,77,73,73,63,72,75,70,74,78,72,76,68,80,70,74,77,72,72,75,73
1,822011 5:00,127.4,71,70,66,74,73,76,74,73,61,72,75,70,72,79,72,75,70,78,68,74,76,72,73,73,72
