ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,212011 1:00,166.2,39,34,35,39,41,38,38,39,28,36,35,36,32,45,34,41,38,40,36,39,34,34,37,34,34
1,212011 2:00,164.8,39,34,35,38,40,37,38,38,28,35,34,36,32,45,34,40,37,39,36,38,34,34,37,34,34
1,212011 3:00,165.3,39,30,35,38,40,36,37,38,28,35,34,36,32,44,34,39,37,39,36,37,34,34,37,34,33
1,212011 4:00,168.7,39,30,34,38,39,36,37,38,28,35,34,36,32,43,34,39,37,39,36,37,35,34,37,34,33
1,212011 5:00,175.9,38,30,34,38,39,36,37,38,28,35,34,36,32,43,34,38,36,39,36,36,34,34,37,34,33
1,212011 6:00,189.4,38,30,34,38,39,35,37,38,28,35,33,36,32,43,34,38,36,39,36,36,34,32,37,34,33
1,212011 7:00,211,38,30,35,38,39,35,37,38,28,35,33,34,32,43,34,39,36,39,36,36,34,32,37,34,33
1,212011 8:00,210.3,38,30,35,38,40,35,38,38,30,35,34,36,32,43,35,39,37,39,36,37,33,32,37,35,34
1,212011 9:00,197.5,40,34,36,38,41,36,39,39,30,35,35,36,33,43,36,40,37,42,36,38,34,34,38,36,35
1,212011 10:00,183.9,41,36,37,38,43,37,42,41,36,37,36,37,34,45,37,45,37,45,37,41,35,37,39,37,37
1,212011 11:00,167.1,42,39,39,40,47,38,46,45,39,40,38,39,36,48,39,48,38,50,39,46,37,41,42,39,39
1,212011 12:00,152.3,44,48,39,42,53,42,50,49,42,43,40,41,41,48,43,48,40,54,41,51,43,46,46,42,43
1,212011 13:00,133.7,46,50,40,42,54,47,55,52,45,47,45,46,44,48,44,48,40,57,41,54,44,48,49,45,46
1,212011 14:00,123.2,49,50,41,43,58,51,56,56,45,52,45,46,48,49,46,50,40,56,43,56,50,52,50,49,49
1,212011 15:00,118.4,51,54,41,44,61,49,57,60,43,53,46,48,49,47,50,51,40,53,41,56,45,54,52,51,50
1,212011 16:00,118.9,51,54,40,46,61,50,58,61,39,57,47,48,50,44,50,51,40,50,41,56,45,55,53,52,51
1,212011 17:00,128.5,51,52,40,46,60,44,56,59,37,57,48,50,49,45,50,51,40,51,39,53,44,55,54,52,50
1,212011 18:00,145.9,50,50,41,46,57,43,53,56,36,53,48,48,46,47,49,50,40,51,39,50,43,52,49,51,47
1,212011 19:00,166,50,45,39,48,55,43,52,54,34,54,47,50,47,48,49,49,40,52,39,48,43,52,48,50,44
1,212011 20:00,169.4,50,45,39,47,54,42,50,54,32,52,47,48,47,49,49,48,40,54,39,47,43,48,48,50,47
