ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,612011 1:00,140,74,72,72,73,75,77,75,77,70,77,78,72,79,78,77,74,70,78,73,75,75,73,82,81,73
1,612011 2:00,126.1,72,70,69,74,72,75,74,75,70,75,75,72,76,78,74,73,70,76,72,74,74,70,78,78,71
1,612011 3:00,115.9,71,70,67,75,72,74,73,73,70,74,74,70,73,77,72,72,70,74,70,73,74,68,73,74,70
1,612011 4:00,110,71,70,66,72,70,75,72,72,66,73,73,70,71,76,71,70,68,72,68,72,72,66,73,73,69
1,612011 5:00,107.8,70,68,65,72,70,75,70,71,64,72,74,70,71,76,70,69,68,73,70,71,72,68,72,72,68
1,612011 6:00,111.4,69,66,65,71,70,70,68,70,64,71,72,68,70,76,69,70,66,73,68,72,72,64,70,70,68
1,612011 7:00,122.9,69,68,66,75,68,75,70,70,68,71,75,68,70,80,71,71,68,74,70,70,73,68,72,72,69
1,612011 8:00,138.4,72,70,70,76,73,79,75,73,68,75,77,72,75,81,77,75,73,80,73,74,75,72,75,77,75
1,612011 9:00,150.6,78,75,75,81,77,79,78,78,73,79,82,77,80,83,82,79,79,83,79,78,79,75,81,82,80
1,612011 10:00,165.8,83,79,79,84,81,84,80,81,79,82,84,81,83,85,82,80,84,82,82,80,81,79,84,85,82
1,612011 11:00,184.8,86,84,82,87,82,86,83,84,81,85,88,84,86,83,87,84,86,84,88,84,83,82,86,88,85
1,612011 12:00,203.9,88,84,85,90,86,89,86,88,81,87,90,86,87,85,88,84,88,84,90,84,87,86,89,90,88
1,612011 13:00,220.2,90,90,87,92,88,91,89,90,81,90,91,88,89,85,90,88,91,85,91,87,90,88,90,91,90
1,612011 14:00,235.9,93,90,88,93,90,91,90,92,82,91,92,90,90,88,91,87,93,86,91,89,91,90,92,92,92
1,612011 15:00,246.6,93,90,89,94,91,91,90,93,84,93,93,90,91,87,92,86,95,88,93,88,90,91,93,93,93
1,612011 16:00,252.6,94,90,90,94,91,92,90,93,82,94,93,91,92,88,93,86,95,85,93,88,93,91,93,95,93
1,612011 17:00,257.6,94,90,87,94,91,91,90,94,82,94,92,91,92,87,92,86,95,85,91,85,91,90,93,95,93
1,612011 18:00,261,94,90,86,94,90,90,88,93,81,92,92,91,91,85,91,84,91,83,93,83,91,91,93,93,92
1,612011 19:00,257.6,93,88,86,90,86,87,84,92,79,91,91,90,90,84,86,82,88,81,90,82,88,90,91,92,90
1,612011 20:00,241.8,89,84,84,86,81,84,81,89,79,87,87,86,87,81,83,79,84,79,86,78,86,86,88,87,83
1,612011 21:00,231.3,82,82,82,84,79,82,76,82,77,83,85,81,82,80,79,77,81,79,84,76,84,82,85,86,80
1,612011 22:00,222.3,80,77,77,83,77,81,75,80,75,80,82,81,81,80,80,76,79,79,81,74,82,81,87,82,78
1,612011 23:00,195.9,82,75,76,81,73,81,75,77,73,78,82,79,80,80,77,75,79,79,77,73,82,77,83,82,79
1,622011 0:00,170.4,81,77,72,79,73,80,74,76,73,77,80,77,78,80,78,75,77,79,79,73,80,77,80,80,79
1,622011 1:00,150.8,80,75,72,79,72,79,74,74,72,76,79,77,78,80,77,75,73,79,77,73,80,75,78,78,77
1,622011 2:00,139.1,78,75,70,78,72,79,73,74,72,76,80,75,78,81,77,75,73,79,75,73,79,73,77,78,76
1,622011 3:00,131.7,76,73,68,79,72,79,73,74,70,75,79,75,78,80,77,73,73,79,75,72,79,73,76,77,75
1,622011 4:00,126.3,76,73,67,76,72,78,74,73,66,75,76,73,78,80,75,74,72,79,75,72,78,72,76,77,77
1,622011 5:00,124.5,75,70,67,76,73,78,74,74,66,74,75,72,76,79,73,73,72,79,75,73,77,72,76,75,73
1,622011 6:00,126.9,74,70,66,73,73,77,74,74,66,74,72,70,74,80,72,73,72,78,72,73,76,72,73,74,72
1,622011 7:00,137.8,74,72,68,79,73,77,74,75,64,74,72,70,72,81,70,73,72,79,72,73,77,72,74,74,73
1,622011 8:00,151.6,77,75,70,81,75,81,76,76,66,78,78,73,76,81,77,74,75,79,75,73,81,77,78,80,78
1,622011 9:00,166.6,81,79,73,81,79,86,81,80,70,81,79,77,79,84,82,77,79,81,77,77,84,81,83,82,82
1,622011 10:00,184.3,85,84,78,83,82,89,85,83,70,86,82,79,82,85,83,81,82,83,79,80,84,84,86,85,85
1,622011 11:00,202.4,88,84,82,85,86,90,87,86,75,88,83,81,84,87,86,85,86,85,82,86,85,88,88,87,88
1,622011 12:00,217.3,90,88,84,88,88,91,91,89,77,90,87,84,85,89,87,88,88,87,86,89,84,90,90,89,90
1,622011 13:00,227.3,91,90,84,90,90,93,93,91,79,93,88,86,87,92,88,92,90,87,88,92,86,91,92,91,91
1,622011 14:00,236.5,92,90,86,91,91,94,95,94,81,94,89,88,88,91,90,95,91,88,88,94,87,91,92,92,93
1,622011 15:00,243.5,95,91,89,92,93,93,95,96,81,96,90,90,89,91,91,96,91,90,88,95,89,93,94,93,94
1,622011 16:00,250.8,95,93,77,92,95,94,97,98,81,97,91,90,90,92,92,92,91,91,90,93,92,95,95,94,94
1,622011 17:00,257.3,95,91,73,92,95,93,96,98,81,97,90,90,90,90,92,91,91,89,88,89,92,95,94,94,94
1,622011 18:00,258.3,94,90,74,90,95,95,91,98,77,96,89,90,89,87,92,91,90,86,86,88,91,95,94,92,93
1,622011 19:00,251.8,92,84,74,88,91,93,87,96,75,94,87,81,87,86,88,88,82,83,84,84,89,91,91,90,91
1,622011 20:00,233.1,86,79,72,82,86,85,83,91,73,91,85,79,84,82,76,85,81,81,81,80,88,79,87,87,87
1,622011 21:00,215.8,81,73,71,77,79,81,78,86,72,86,80,77,76,81,71,81,77,79,79,78,82,73,79,79,83
1,622011 22:00,203.2,76,72,69,75,81,77,75,82,70,84,78,72,74,81,70,79,72,80,79,77,79,72,78,74,74
1,622011 23:00,175.2,73,70,68,74,77,72,74,78,70,82,78,72,74,80,68,78,70,79,75,75,82,70,74,72,69
1,632011 0:00,144.6,71,70,67,73,73,71,70,75,70,71,76,70,73,79,70,77,70,79,73,76,80,68,72,72,68
1,632011 1:00,129.2,69,70,66,69,73,76,70,74,68,71,74,68,75,80,75,77,68,80,72,76,78,68,72,76,70
1,632011 2:00,118.1,69,73,64,73,72,76,72,74,66,70,74,68,72,82,74,78,68,80,70,76,78,68,70,75,69
1,632011 3:00,110.7,69,70,64,74,72,77,72,72,64,69,73,68,70,83,74,76,68,80,68,75,77,68,70,74,70
1,632011 4:00,106.5,69,70,63,72,72,75,71,71,64,70,70,66,70,82,73,76,68,80,69,74,75,68,70,74,73
1,632011 5:00,105.5,69,70,64,70,70,75,68,70,65,72,69,64,68,80,71,74,66,81,69,73,73,72,66,73,72
1,632011 6:00,108.6,68,71,63,71,70,74,71,68,66,70,69,64,67,79,70,74,64,77,70,73,71,70,67,71,69
1,632011 7:00,119.4,68,71,64,70,70,73,73,68,67,71,69,70,66,78,69,74,68,76,69,73,71,68,68,70,68
1,632011 8:00,130.1,70,71,66,73,72,75,76,72,67,73,70,70,67,80,72,76,70,79,70,75,72,72,72,72,72
1,632011 9:00,140.5,72,72,70,76,75,78,79,77,68,76,71,70,70,80,72,79,75,83,73,78,72,73,76,74,75
1,632011 10:00,148.5,76,73,76,78,79,79,82,80,68,78,72,72,72,82,74,82,77,84,75,81,73,77,78,75,77
1,632011 11:00,156.7,79,75,78,80,82,80,83,82,71,80,75,73,73,84,76,86,79,86,75,83,75,79,79,78,78
1,632011 12:00,166.5,81,75,80,82,82,80,84,84,73,82,78,77,75,83,78,86,81,86,79,85,74,79,82,79,80
1,632011 13:00,170.8,83,77,82,83,86,79,86,86,75,84,79,79,76,81,80,86,82,86,80,87,74,81,84,81,81
1,632011 14:00,178.2,85,77,83,85,88,80,86,87,75,85,80,81,77,82,81,86,84,87,81,88,73,81,85,82,82
1,632011 15:00,184.7,86,79,85,87,88,82,87,87,79,86,83,81,78,81,82,85,86,87,82,89,74,82,85,84,82
1,632011 16:00,192.1,88,79,86,86,88,82,87,89,77,87,83,82,79,80,82,83,86,87,82,89,76,82,86,84,84
1,632011 17:00,197.9,88,79,87,87,88,81,87,90,75,87,83,82,79,79,83,83,86,85,82,89,77,82,86,84,85
1,632011 18:00,198,87,79,81,87,88,83,85,89,73,86,82,82,78,77,83,82,86,82,82,87,75,81,86,84,83
1,632011 19:00,189.5,85,75,80,86,86,77,83,87,73,85,80,79,77,75,81,80,84,78,81,80,74,79,85,82,81
1,632011 20:00,173.4,82,70,77,83,79,73,79,84,72,82,79,73,73,73,74,77,79,77,79,76,71,73,80,77,77
1,632011 21:00,159.9,75,64,75,82,77,67,74,78,72,77,76,72,70,72,69,75,72,75,73,73,70,68,74,73,67
1,632011 22:00,152.4,69,63,72,79,73,70,73,77,68,70,74,68,67,71,67,74,68,74,70,71,68,64,70,70,65
1,632011 23:00,135.1,67,57,69,75,72,62,71,73,66,69,72,68,64,70,67,74,66,74,68,71,68,61,67,70,62
1,642011 0:00,116.9,65,55,67,76,68,62,66,70,66,67,71,64,62,67,64,69,64,73,66,71,67,61,64,66,61
1,642011 1:00,101.1,62,55,65,71,68,59,64,68,63,64,68,63,62,69,63,67,63,70,64,70,64,61,62,66,60
1,642011 2:00,91.6,62,54,64,65,64,59,62,67,63,66,69,68,63,67,62,66,63,69,64,70,64,54,62,65,59
1,642011 3:00,85.8,59,54,63,69,64,58,60,66,61,61,67,66,63,63,60,64,61,64,63,68,61,54,61,66,58
1,642011 4:00,82.8,59,50,61,61,64,56,59,66,59,60,66,66,60,68,59,63,61,63,63,65,60,52,60,62,57
1,642011 5:00,82.4,58,50,60,66,63,58,57,64,57,60,66,64,58,63,57,63,59,62,63,64,62,52,59,59,57
1,642011 6:00,83.2,57,50,59,59,63,58,56,63,55,59,63,61,57,59,56,61,59,62,61,64,63,52,58,57,57
1,642011 7:00,85.7,58,54,60,62,63,61,59,63,59,59,63,61,57,67,58,64,59,64,63,65,65,55,59,57,58
1,642011 8:00,97.6,63,64,62,71,68,67,69,67,59,67,66,64,63,76,66,70,64,73,66,69,70,61,64,65,64
1,642011 9:00,111.7,69,70,67,74,73,76,74,71,64,73,70,70,70,80,72,75,72,77,72,74,73,70,70,70,71
1,642011 10:00,125.1,77,75,73,77,77,79,77,76,66,76,74,73,73,80,75,79,75,80,73,77,74,73,77,76,74
1,642011 11:00,136.9,80,77,78,80,79,81,79,80,72,78,77,77,76,81,78,81,79,83,75,77,76,75,81,79,77
1,642011 12:00,149,83,79,82,82,81,83,81,82,75,80,80,79,77,82,80,81,82,83,79,79,78,79,83,81,78
1,642011 13:00,160.8,85,79,85,85,82,84,83,83,79,83,83,81,80,83,82,82,86,82,81,83,77,81,85,85,81
1,642011 14:00,172.1,87,82,85,86,84,85,84,85,81,84,84,82,81,84,83,82,88,81,84,84,79,81,88,85,83
1,642011 15:00,182,88,82,87,87,86,87,84,87,81,86,85,84,82,83,85,82,88,80,84,83,83,82,89,87,84
1,642011 16:00,191.9,90,84,87,88,88,87,85,89,81,87,87,86,83,81,86,82,90,81,88,83,82,84,90,88,85
1,642011 17:00,199.7,90,84,87,88,88,87,87,89,81,87,87,86,84,81,86,82,90,81,88,82,83,84,90,88,86
1,642011 18:00,203.6,90,84,86,88,86,86,85,89,81,87,87,86,84,79,86,82,90,80,88,80,84,84,89,88,85
1,642011 19:00,199.6,89,82,85,87,84,85,80,88,81,86,86,86,84,79,85,80,86,78,84,77,80,82,87,87,84
1,642011 20:00,185,86,75,80,84,81,79,77,86,79,82,83,81,81,78,80,78,82,76,82,74,79,77,85,82,75
1,642011 21:00,173.6,80,70,76,80,77,75,73,81,75,78,79,75,76,77,75,76,77,76,79,72,75,72,84,79,71
1,642011 22:00,168.9,77,68,71,78,73,74,70,77,75,74,77,72,73,77,73,73,72,76,75,71,74,68,76,78,69
1,642011 23:00,150,75,64,70,77,72,71,69,75,73,74,77,72,72,77,71,74,72,76,73,70,73,70,73,74,67
1,652011 0:00,130.7,74,64,66,75,72,72,68,74,73,72,75,70,71,77,69,72,70,77,72,67,70,70,71,73,65
1,652011 1:00,114.3,71,64,65,74,72,66,69,72,73,71,74,70,70,77,71,69,70,77,72,69,71,70,74,74,67
1,652011 2:00,103.9,69,64,63,72,70,70,67,72,73,71,73,68,69,77,71,69,68,77,70,68,71,68,74,72,68
1,652011 3:00,98,70,64,63,68,72,69,68,71,73,72,73,68,69,77,71,69,68,77,70,67,72,68,73,72,67
1,652011 4:00,94.6,70,66,63,68,72,70,68,71,72,71,72,68,71,77,72,71,64,78,75,68,72,68,72,71,68
1,652011 5:00,93.9,70,70,62,68,72,68,70,71,72,71,73,68,73,77,72,72,64,78,77,68,70,68,72,69,69
1,652011 6:00,95.7,70,70,60,68,70,72,70,71,70,71,72,68,74,78,71,71,63,77,75,67,70,68,71,71,69
1,652011 7:00,97.6,71,64,63,68,72,73,70,71,70,72,72,68,71,78,71,72,64,78,72,68,71,70,71,72,69
1,652011 8:00,107.8,72,68,68,72,73,72,73,73,72,73,74,70,72,79,75,75,70,79,72,73,69,70,74,74,73
1,652011 9:00,124.2,76,70,71,78,77,73,72,76,72,78,78,73,74,79,77,78,79,79,75,78,69,73,77,77,75
1,652011 10:00,137.6,82,70,79,83,81,72,80,80,73,82,83,77,74,80,79,82,82,81,82,82,70,72,82,81,72
1,652011 11:00,141.4,88,73,81,87,86,73,81,85,75,82,84,82,78,78,83,85,88,84,84,84,70,72,85,84,74
1,652011 12:00,145.2,89,73,84,89,88,74,73,88,77,82,87,84,78,81,86,88,90,85,84,85,72,73,89,85,78
1,652011 13:00,155,91,75,87,91,91,75,76,89,79,83,88,86,83,80,87,91,90,79,88,86,75,77,90,86,81
1,652011 14:00,166.1,92,79,88,92,90,79,77,91,81,84,88,88,83,80,88,91,91,82,88,86,77,79,91,89,84
